i,N,costMethod,costIPOPT
0,100,0.18167327344417572,0.1986313760280609
0,110,0.18190006911754608,0.19948391616344452
0,120,0.18194840848445892,0.20019277930259705
0,130,0.1832243800163269,0.20078131556510925
0,140,0.1879982054233551,0.20128822326660156
0,150,0.1979529708623886,0.20173320174217224
0,160,0.22958791255950928,0.2021234631538391
0,170,0.3326391875743866,0.20246753096580505
0,180,0.5483220815658569,0.20276691019535065
0,190,2.545095443725586,0.2030336558818817
0,200,25.29107093811035,0.20327657461166382
0,300,3446.928466796875,0.2047744244337082
0,400,11673.79296875,0.20544947683811188
0,500,19231.568359375,0.2057734876871109
0,600,25312.6328125,0.2059059888124466
0,700,30163.541015625,0.20591790974140167
0,800,34078.4453125,0.20584522187709808
0,900,37287.26171875,0.20570962131023407
0,1000,39958.13671875,0.2055252343416214
17,100,0.12132241576910019,0.14600294828414917
17,110,0.11378902196884155,0.1471533328294754
17,120,0.10182440280914307,0.14812277257442474
17,130,0.08735793828964233,0.148945614695549
17,140,0.07268073409795761,0.1496579796075821
17,150,0.06013336777687073,0.15027599036693573
17,160,0.0529005341231823,0.1508220136165619
17,170,0.05686206743121147,0.15130311250686646
17,180,0.07314666360616684,0.15173594653606415
17,190,0.10276433080434799,0.15212225914001465
17,200,0.14840035140514374,0.15247392654418945
17,300,1.3770684003829956,0.1547469049692154
17,400,2.9881184101104736,0.15596215426921844
17,500,4.319622039794922,0.15676763653755188
17,600,5.352384567260742,0.15738165378570557
17,700,6.158236026763916,0.15789936482906342
17,800,6.797794342041016,0.15836383402347565
17,900,7.315297603607178,0.15880422294139862
17,1000,7.741629600524902,0.15828002989292145
54,100,0.1522047072649002,0.18429462611675262
54,110,0.14438927173614502,0.1848146915435791
54,120,0.13720065355300903,0.18525391817092896
54,130,0.13310116529464722,0.18563416600227356
54,140,0.13619311153888702,0.18596459925174713
54,150,0.15239563584327698,0.18625614047050476
54,160,0.1903533637523651,0.18651458621025085
54,170,0.252908855676651,0.18674500286579132
54,180,0.34578749537467957,0.18695159256458282
54,190,0.475925087928772,0.18712936341762543
54,200,0.6385425329208374,0.18727390468120575
54,300,3.416802167892456,0.1882818192243576
54,400,6.274634838104248,0.18880923092365265
54,500,8.443106651306152,0.1894298791885376
54,600,10.06462574005127,0.18943269550800323
54,700,11.30528450012207,0.1901746690273285
54,800,12.277074813842773,0.1905011236667633
54,900,13.056346893310547,0.19085079431533813
54,1000,13.6946382522583,0.19122599065303802
70,100,0.007913176901638508,0.011871056631207466
70,110,0.008784906938672066,0.011964733712375164
70,120,0.010157742537558079,0.01204541977494955
70,130,0.011688143946230412,0.01211562566459179
70,140,0.01664547435939312,0.012177122756838799
70,150,0.024877352640032768,0.012231302447617054
70,160,0.03779907897114754,0.012279251590371132
70,170,0.0621122308075428,0.012319966219365597
70,180,0.13274911046028137,0.0123510230332613
70,190,1.8006494045257568,0.012378830462694168
70,200,10.04856014251709,0.012404324486851692
70,300,774.8809204101562,0.012553299777209759
70,400,2562.504150390625,0.012593059800565243
70,500,4361.94970703125,0.0125829316675663
70,600,5866.16552734375,0.012541988864541054
70,700,7090.75244140625,0.012480886653065681
70,800,8091.65283203125,0.012406207621097565
70,900,8919.1796875,0.01232342142611742
70,1000,9612.2294921875,0.012613126076757908
