N,minInitGuessTime,maxInitGuessTime,meanInitGuessTime,minOptimizerTime,maxOptimizerTime,meanOptimizerTime
10,0.001451253890991211,0.003025531768798828,0.0017948150634765625,3.840601921081543,3.915170907974243,3.887966346740723
15,0.0014946460723876953,0.0019354820251464844,0.0016558647155761718,5.825038433074951,5.851895809173584,5.8351410865783695
20,0.001538991928100586,0.0019583702087402344,0.0016520023345947266,9.687004566192627,9.731216192245483,9.703708362579345
25,0.0011920928955078125,0.0021255016326904297,0.0016385555267333985,13.769400835037231,13.824651956558228,13.789289712905884
30,0.0016169548034667969,0.0018663406372070312,0.001701688766479492,19.02314805984497,19.112761735916138,19.06816267967224
35,0.0016667842864990234,0.0018260478973388672,0.001717519760131836,24.583734273910522,24.779520750045776,24.687010526657104
40,0.001375436782836914,0.003570079803466797,0.002071189880371094,30.72575807571411,30.87957453727722,30.790330410003662
45,0.0018079280853271484,0.002512693405151367,0.001988124847412109,37.30431580543518,37.38419151306152,37.34626441001892
50,0.0019843578338623047,0.002774477005004883,0.0022057533264160157,45.13589572906494,45.317023515701294,45.20605120658875
55,0.0018146038055419922,0.002707958221435547,0.002155637741088867,56.23566031455994,56.45297980308533,56.31200542449951
60,0.0019402503967285156,0.003062009811401367,0.0022591114044189452,64.94103574752808,65.7513062953949,65.3665099620819
65,0.0021424293518066406,0.002836465835571289,0.0023409366607666016,76.03023767471313,77.11063194274902,76.68218183517456
70,0.002283334732055664,0.003101825714111328,0.002624225616455078,87.21015810966492,88.27950119972229,87.75256824493408
75,0.0022368431091308594,0.003024578094482422,0.002550506591796875,99.31273460388184,100.03444528579712,99.84534883499146
80,0.0022215843200683594,0.0037114620208740234,0.0026291847229003907,112.38413667678833,113.3916163444519,113.0009126663208
85,0.002503633499145508,0.0031599998474121094,0.0027919769287109374,120.96074748039246,122.86943483352661,122.23335065841675
90,0.002837657928466797,0.0036373138427734375,0.003142118453979492,122.51109266281128,124.46824955940247,123.2133560180664
95,0.003143787384033203,0.003906965255737305,0.0034820079803466798,125.70483589172363,126.32320976257324,126.07781348228454
100,0.0027475357055664062,0.003962993621826172,0.0030698299407958983,127.7633547782898,128.95228171348572,128.26211481094361
