N,totalSeconds,numIterations,dp_add_sub_flops,dp_div_flops,dp_mult_add_flops,dp_mult_flops,sp_add_sub_flops,sp_div_flops,sp_mult_add_flops,sp_mult_flops
10,0.025,32,1969214,235146,359429,39398,0,0,0,231
15,0.042,32,3607895,327247,2060825,4216960,66,0,0,46
20,0.085,32,10725068,740978,7777262,10178605,59,0,0,782
25,0.08,32,20145374,1520805,25140502,21514748,78,0,0,492
30,0.115,32,29371775,1886563,53519125,38363815,75,0,0,898
35,0.081,32,56189378,3533146,74291060,46343131,52,0,0,444
40,0.177,32,78579006,4273064,120472918,67233040,53,0,0,2657
45,0.163,32,92685738,5537139,174718464,92152403,65,0,0,65
50,0.156,32,125839096,8568731,228045773,110098364,57,0,0,62
55,0.195,32,151923422,9714240,399643347,160319673,53,0,0,1056
60,0.238,32,197561167,14336455,513664462,201445980,69,0,0,1752
65,0.301,32,255425566,16851186,817671905,264150559,64,0,0,1268
70,0.447,32,296920540,21839881,989342880,290437016,55,0,0,139
75,0.514,32,439788152,24168646,1301901125,436324362,73,0,0,62
80,0.469,32,453192703,25030869,1234970597,456237380,73,0,0,1456
85,0.57,32,637761206,27631724,1140114122,447698227,42,0,0,1547
90,0.657,32,634385906,34764477,2340177146,631743369,59,0,0,2490
95,0.687,32,682381027,44935697,2598197444,710546555,78,0,0,2480
100,0.789,32,726302505,40190697,2626811666,762816229,63,0,0,407
